,Display Name,Brand (because the name is already toooo long),Category,BP Condition,Unlock Day,Unlock Quest,Build Cost,Upgrade Cost,,,,,Sell Price,,,,,Maintenance,,,,,Stock,,,,,Attractiveness ,,,,
TRUE,Fleshlight,Lewis Spitton,Fleshlight,,,,200,105,120,145,180,225,20,21,25,32,45,15,17,19,23,27,8,10,12,14,16,31,88,133,181,229
TRUE,Egg Fleshlight,Lewis Spitton,Fleshlight,,,,220,115,130,155,190,235,22,23,27,34,47,17,19,21,25,29,9,10,12,14,16,32,95,144,195,247
TRUE,Textured Fantasy Fleshlight,Good Unicorn,Fleshlight,,,,330,170,185,210,245,290,33,34,38,45,58,28,30,32,36,40,10,11,13,15,17,42,135,203,274,346
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,Penis Pump,Eve St. Lauren,Instruments,,,,95,52,67,92,127,172,9,11,14,22,34,5,6,9,12,17,7,9,11,13,14,21,50,77,105,135
TRUE,Nipple Pump,Eve St. Lauren,Instruments,,,,140,75,90,115,150,195,14,15,19,26,39,9,11,13,17,21,8,10,11,13,15,25,66,101,137,175
TRUE,Pussy Pump,Eve St. Lauren,Instruments,,,,275,142,157,182,217,262,27,29,32,40,52,23,24,27,30,35,9,11,13,14,16,37,115,174,235,297
TRUE,Sounding Rod,Lewis Spitton,Instruments,,,,415,212,227,252,287,332,41,43,46,54,66,37,38,41,44,49,10,12,14,16,18,50,165,249,335,423
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,90's Lingerie,Eve St. Lauren,Lingerie,,,,75,42,57,82,117,162,7,9,12,20,32,3,4,7,10,15,7,9,11,12,14,19,43,66,91,117
TRUE,Bunny Lingerie,Eve St. Lauren,Lingerie,,,,250,130,145,170,205,250,25,26,30,37,50,20,22,24,28,32,9,11,12,14,16,35,106,160,217,274
TRUE,Maid Outfit,Eve St. Lauren,Lingerie,,,,250,130,145,170,205,250,25,26,30,37,50,20,22,24,28,32,9,11,12,14,16,35,106,160,217,274
TRUE,Cupid Outfit,Eve St. Lauren,Lingerie,,,,370,190,205,230,265,310,37,38,42,49,62,32,34,36,40,44,10,12,14,15,17,46,149,225,303,382
TRUE,Leather Queen Lingerie,Eve St. Lauren,Lingerie,,,,650,330,345,370,405,450,65,66,70,77,90,60,62,64,68,72,13,15,16,18,20,71,250,376,505,634
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,Bullet Vibrator,Cucci,Vibrator,Day 0,0,,105,57,72,97,132,177,10,12,15,23,35,6,7,10,13,18,7,9,11,13,15,22,54,82,112,144
TRUE,Wand Vibrator,Cucci,Vibrator,Day 1,1,,120,65,80,105,140,185,12,13,17,24,37,7,9,11,15,19,8,9,11,13,15,23,59,90,123,157
TRUE,Portable Vibrator,Cucci,Vibrator,Day 1,1,,175,92,107,132,167,212,17,19,22,30,42,13,14,17,20,25,8,10,12,13,15,28,79,120,163,207
TRUE,Lipstick Vibrator,Cucci,Vibrator,Day 1 + 100 F,,,205,107,122,147,182,227,20,22,25,33,45,16,17,20,23,28,8,10,12,14,16,31,90,136,184,234
TRUE,Pen Vibrator,Cucci,Vibrator,Day 1 + 200 F,,,145,77,92,117,152,197,14,16,19,27,39,10,11,14,17,22,8,10,11,13,15,26,68,104,141,180
TRUE,Flower Vibrator,Cucci,Vibrator,Quest Awkward Vibrator,,,150,80,95,120,155,200,15,16,20,27,40,10,12,14,18,22,8,10,11,13,15,26,70,106,145,184
TRUE,Wireless Vibrator,Cucci,Vibrator,Quest Awkward Vibrator + 100F,,,300,155,170,195,230,275,30,31,35,42,55,25,27,29,33,37,9,11,13,15,17,40,124,187,253,319
TRUE,Lovi Couples Vibrator,Cucci,Vibrator,Quest Better Sex + 140F,,,425,217,232,257,292,337,42,44,47,55,67,38,39,42,45,50,11,12,14,16,18,51,169,255,343,432
TRUE,Clitoral Vibrator,Cucci,Vibrator,Quest Awkward Vibrator + 170F,,,430,220,235,260,295,340,43,44,48,55,68,38,40,42,46,50,11,12,14,16,18,51,171,257,346,436
TRUE,Thrusting Vibrator,Cucci,Vibrator,,,,455,232,247,272,307,352,45,47,50,58,70,41,42,45,48,53,11,13,14,16,18,53,180,271,364,459
TRUE,Rabbit Vibrator,Cucci,Vibrator,,,,490,250,265,290,325,370,49,50,54,61,74,44,46,48,52,56,11,13,15,17,18,57,192,290,389,490
TRUE,G-spot vibrator,Cucci,Vibrator,,,,515,262,277,302,337,382,51,53,56,64,76,47,48,51,54,59,11,13,15,17,19,59,201,303,407,513
TRUE,Finger Vibrator,Cucci,Vibrator,,,,540,275,290,315,350,395,54,55,59,66,79,49,51,53,57,61,12,14,15,17,19,61,210,317,425,535
TRUE,Grinder Vibrator,Cucci,Vibrator,,,,565,287,302,327,362,407,56,58,61,69,81,52,53,56,59,64,12,14,16,17,19,63,219,330,443,558
TRUE,Anal Vibrator,LOVXNS,Vibrator,,,,615,312,327,352,387,432,61,63,66,74,86,57,58,61,64,69,12,14,16,18,20,68,237,357,479,603
TRUE,Tripple Stimulation Vibrator,Cucci,Vibrator,,,,735,372,387,412,447,492,73,75,78,86,98,69,70,73,76,81,14,15,17,19,21,79,280,422,566,711
TRUE,Panty Vibrator Remote Set,Cucci,Vibrator,,,,550,280,295,320,355,400,55,56,60,67,80,50,52,54,58,62,12,14,15,17,19,62,214,322,433,544
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,Latex Condoms,Lewis Spitton,Wellness,Day 0,,,50,30,45,70,105,150,5,6,10,17,30,0,2,4,8,12,7,9,10,12,14,17,34,52,73,94
TRUE,Darex Natural Lubricant,Mèrcury,Wellness,Day 0,,,55,32,47,72,107,152,5,7,10,18,30,1,2,5,8,13,7,9,10,12,14,17,36,55,76,99
TRUE,Rapid Pregnancy Test,Mèrcury,Wellness,150M,,,60,35,50,75,110,155,6,7,11,18,31,1,3,5,9,13,7,9,11,12,14,18,37,58,80,103
TRUE,1-Step PlanB,Mèrcury,Wellness,Quest Pregnancy Test 340M,,,85,47,62,87,122,167,8,10,13,21,33,4,5,8,11,16,7,9,11,13,14,20,46,71,98,126
TRUE,Intense Polyisoprene Condoms,Mèrcury,Wellness,Quest Pregnancy Test 280F,,,150,80,95,120,155,200,15,16,20,27,40,10,12,14,18,22,8,10,11,13,15,26,70,106,145,184
TRUE,Silicone Toy Cleaner,Dildo & Chbana,Wellness,Quest 5 Vibrators,,,85,47,62,87,122,167,8,10,13,21,33,4,5,8,11,16,7,9,11,13,14,20,46,71,98,126
TRUE,Mouth Wash,Lewis Spitton,Wellness,Quest Toy Cleaner ,,,325,167,182,207,242,287,32,34,37,45,57,28,29,32,35,40,10,11,13,15,17,42,133,201,271,342
TRUE,Vaginal Douche,LOVXNS,Wellness,Quest Toy Cleaner + 100F,,,365,187,202,227,262,307,36,38,41,49,61,32,33,36,39,44,10,12,14,15,17,45,147,222,299,378
TRUE,Phosphodiesterase-5 (PDE-5) inhibitor,Mèrcury,Wellness,Quest 5 Fleshlights,,,125,67,82,107,142,187,12,14,17,25,37,8,9,12,15,20,8,9,11,13,15,24,61,93,127,162
TRUE,Strawberry Lubricant,LOVXNS,Wellness,800M,,,175,92,107,132,167,212,17,19,22,30,42,13,14,17,20,25,8,10,12,13,15,28,79,120,163,207
TRUE,Women’s Pleasure Condoms,Mèrcury,Wellness,300F,,,195,102,117,142,177,222,19,21,24,32,44,15,16,19,22,27,8,10,12,14,15,30,86,131,177,225
TRUE,Glow in the Dark Lubricant,Good Unicorn,Wellness,880M,,,250,130,145,170,205,250,25,26,30,37,50,20,22,24,28,32,9,11,12,14,16,35,106,160,217,274
TRUE,6.8oz Anal Douche,LOVXNS,Wellness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
