,Bundled,Quested,Rewarded,Display Name,Brand (because the name is already toooo long),Category,Build Cost,Upgrade Cost,,,,,Sell Price,,,,,Stock fee / Product,,,,,Profit,,,,,Shelf Maintenance Fee,,,,,Appeal,,,,
TRUE,1,FALSE,FALSE,Egg Fleshlight,Lewis Spitton,Fleshlight,220,115,130,155,190,235,15,18,21,27,33,9,11,13,17,21,6,7,8,10,12,12,14,15,18,21,4,9,13,19,24
TRUE,1,FALSE,FALSE,Textured Fantasy Fleshlight,Good Unicorn,Fleshlight,330,170,185,210,245,290,25,26,31,35,43,15,16,19,22,27,10,10,12,13,16,18,18,21,22,26,6,13,19,26,34
FALSE,1,FALSE,FALSE,Penis Pump,Eve St. Lauren,Instruments,95,52,67,92,127,172,6,7,12,16,24,3,4,7,10,15,3,3,5,6,9,7,7,11,12,17,2,4,7,10,13
FALSE,1,FALSE,FALSE,Nipple Pump,Eve St. Lauren,Instruments,140,75,90,115,150,195,9,12,15,21,27,5,7,9,13,17,4,5,6,8,10,9,11,12,15,18,2,6,9,13,17
FALSE,1,FALSE,FALSE,Pussy Pump,Eve St. Lauren,Instruments,275,142,157,182,217,262,20,22,26,31,38,12,13,16,19,24,8,9,10,12,14,15,17,18,21,23,5,11,16,23,29
FALSE,1,FALSE,FALSE,Sounding Rod,Lewis Spitton,Instruments,415,212,227,252,287,332,31,33,37,42,49,19,20,23,26,31,12,13,14,16,18,21,22,23,26,28,7,16,24,33,41
TRUE,1,FALSE,TRUE,90's Lingerie,Eve St. Lauren,Lingerie,75,42,57,82,117,162,4,6,10,15,22,2,3,6,9,14,2,3,4,6,8,6,7,9,12,15,1,3,6,8,11
TRUE,3,FALSE,FALSE,Bunny Lingerie,Eve St. Lauren,Lingerie,250,130,145,170,205,250,18,20,24,29,36,11,12,15,18,23,7,8,9,11,13,14,15,17,19,22,4,10,15,21,26
FALSE,3,FALSE,FALSE,Maid Outfit,Eve St. Lauren,Lingerie,250,130,145,170,205,250,18,20,24,29,36,11,12,15,18,23,7,8,9,11,13,14,15,17,19,22,4,10,15,21,26
FALSE,1,FALSE,FALSE,Cupid Outfit,Eve St. Lauren,Lingerie,370,190,205,230,265,310,28,30,34,39,46,17,18,21,24,29,11,12,13,15,17,19,21,22,25,27,7,14,22,29,37
TRUE,1,FALSE,FALSE,Leather Queen Lingerie,Eve St. Lauren,Lingerie,650,330,345,370,405,450,50,52,56,61,68,31,32,35,38,43,19,20,21,23,25,30,31,32,35,37,12,24,37,50,62
TRUE,1,FALSE,FALSE,Bullet Vibrator,Cucci,Vibrator,105,57,72,97,132,177,6,9,12,18,24,3,5,7,11,15,3,4,5,7,9,7,9,11,14,17,2,4,7,10,13
TRUE,1,FALSE,FALSE,Wand Vibrator,Cucci,Vibrator,120,65,80,105,140,185,7,10,13,19,25,4,6,8,12,16,3,4,5,7,9,7,9,11,14,17,2,5,8,11,15
TRUE,1,FALSE,FALSE,Portable Vibrator,Cucci,Vibrator,175,92,107,132,167,212,12,14,18,23,30,7,8,11,14,19,5,6,7,9,11,11,12,14,17,19,3,7,11,15,20
TRUE,1,FALSE,FALSE,Lipstick Vibrator,Cucci,Vibrator,205,107,122,147,182,227,14,17,20,26,32,8,10,12,16,20,6,7,8,10,12,12,14,15,18,21,4,8,13,17,22
TRUE,1,FALSE,FALSE,Pen Vibrator,Cucci,Vibrator,145,77,92,117,152,197,9,12,15,21,27,5,7,9,13,17,4,5,6,8,10,9,11,12,15,18,3,6,9,13,17
TRUE,1,FALSE,FALSE,Flower Vibrator,Cucci,Vibrator,150,80,95,120,155,200,10,12,16,21,28,6,7,10,13,18,4,5,6,8,10,9,11,12,15,18,3,6,10,14,17
TRUE,1,FALSE,FALSE,Wireless Vibrator,Cucci,Vibrator,300,155,170,195,230,275,22,25,28,34,40,13,15,17,21,25,9,10,11,13,15,17,18,19,22,25,5,11,18,24,31
TRUE,1,FALSE,FALSE,Lovi Couples Vibrator,Cucci,Vibrator,425,217,232,257,292,337,32,34,38,43,50,19,21,23,27,31,13,13,15,16,19,22,22,25,26,30,8,16,25,33,42
FALSE,1,FALSE,FALSE,Clitoral Vibrator,Cucci,Vibrator,430,220,235,260,295,340,33,34,39,43,51,20,21,24,27,32,13,13,15,16,19,22,22,25,26,30,8,16,25,34,43
TRUE,1,FALSE,FALSE,Thrusting Vibrator,Alex & Steve,Vibrator,455,232,247,272,307,352,34,36,40,45,52,21,22,25,28,33,13,14,15,17,19,22,23,25,27,30,8,17,26,35,45
TRUE,2,FALSE,FALSE,Rabbit Vibrator,Alex & Steve,Vibrator,490,250,265,290,325,370,37,39,43,48,55,23,24,27,30,35,14,15,16,18,20,23,25,26,28,31,9,18,28,38,48
TRUE,2,FALSE,FALSE,G-spot vibrator,Alex & Steve,Vibrator,515,262,277,302,337,382,39,41,45,50,57,24,25,28,31,36,15,16,17,19,21,25,26,27,30,32,9,19,29,40,50
TRUE,2,FALSE,FALSE,Finger Vibrator,Alex & Steve,Vibrator,540,275,290,315,350,395,41,44,47,53,59,25,27,29,33,37,16,17,18,20,22,26,27,28,31,33,10,20,31,42,53
TRUE,1,FALSE,FALSE,Grinder Vibrator,Alex & Steve,Vibrator,565,287,302,327,362,407,43,45,49,54,61,26,28,30,34,38,17,17,19,20,23,27,27,30,31,35,10,21,32,43,55
TRUE,1,FALSE,FALSE,Tripple Stimulation Vibrator,Alex & Steve,Vibrator,735,372,387,412,447,492,57,59,63,68,75,35,36,39,42,47,22,23,24,26,28,33,35,36,38,41,13,27,41,56,70
TRUE,2,FALSE,FALSE,Panty Vibrator Remote Set,Alex & Steve,Vibrator,550,280,295,320,355,400,42,44,48,53,60,26,27,30,33,38,16,17,18,20,22,26,27,28,31,33,10,20,31,42,53
TRUE,2,TRUE,TRUE,Latex Condoms,Lewis Spitton,Wellness,50,30,45,70,105,150,2,4,8,13,20,1,2,5,8,13,1,2,3,5,7,3,6,7,11,14,1,2,4,6,8
TRUE,2,TRUE,TRUE,Darex Natural Lubricant,Mèrcury,Wellness,55,32,47,72,107,152,2,4,8,13,20,1,2,5,8,13,1,2,3,5,7,3,6,7,11,14,1,3,5,7,9
TRUE,1,FALSE,FALSE,Rapid Pregnancy Test,Mèrcury,Wellness,60,35,50,75,110,155,3,5,9,14,21,1,3,5,9,13,2,2,4,5,8,6,6,9,11,15,1,3,5,7,9
TRUE,1,FALSE,FALSE,1-Step PlanB,Mèrcury,Wellness,85,47,62,87,122,167,4,7,10,16,22,2,4,6,10,14,2,3,4,6,8,6,7,9,12,15,1,4,6,9,12
TRUE,1,TRUE,TRUE,Intense Polyisoprene Condoms,Mèrcury,Wellness,150,80,95,120,155,200,10,12,16,21,28,6,7,10,13,18,4,5,6,8,10,9,11,12,15,18,3,6,10,14,17
FALSE,1,FALSE,FALSE,Silicone Toy Cleaner,Dildo & Chbana,Wellness,85,47,62,87,122,167,4,7,10,16,22,2,4,6,10,14,2,3,4,6,8,6,7,9,12,15,1,4,6,9,12
TRUE,1,TRUE,FALSE,Phosphodiesterase-5 (PDE-5) inhibitor,Mèrcury,Wellness,125,67,82,107,142,187,8,10,14,19,26,4,6,8,12,16,4,4,6,7,10,9,9,12,14,18,2,5,8,12,15
TRUE,1,FALSE,TRUE,Strawberry Lubricant,LOVXNS,Wellness,175,92,107,132,167,212,12,14,18,23,30,7,8,11,14,19,5,6,7,9,11,11,12,14,17,19,3,7,11,15,20
TRUE,3,FALSE,TRUE,Women’s Pleasure Condoms,Mèrcury,Wellness,195,102,117,142,177,222,14,15,20,24,32,8,9,12,15,20,6,6,8,9,12,12,12,15,17,21,3,8,12,17,22
TRUE,1,FALSE,FALSE,Glow in the Dark Lubricant,Good Unicorn,Wellness,250,130,145,170,205,250,18,20,24,29,36,11,12,15,18,23,7,8,9,11,13,14,15,17,19,22,4,10,15,21,26
TRUE,1,FALSE,FALSE,6.8oz Anal Douche,LOVXNS,Wellness,325,167,182,207,242,287,24,26,30,35,42,14,16,18,22,26,10,10,12,13,16,18,18,21,22,26,6,12,19,26,33
TRUE,2,FALSE,FALSE,Mouth Wash,LOVXNS,Wellness,325,167,182,207,242,287,24,26,30,35,42,14,16,18,22,26,10,10,12,13,16,18,18,21,22,26,6,12,19,26,33
TRUE,1,FALSE,FALSE,Vaginal Douche,LOVXNS,Wellness,365,187,202,227,262,307,27,29,33,38,45,16,18,20,24,28,11,11,13,14,17,19,19,22,23,27,6,14,21,29,37
TRUE,1,FALSE,TRUE,Over The Counter Birth Control,Mèrcury,Wellness,133,71,86,111,146,191,9,10,15,19,27,5,6,9,12,17,4,4,6,7,10,9,9,12,14,18,2,5,9,12,16
FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
